,VIC,NSW,QLD,WA,SA,TAS,ACT,NT,TOTAL
Mar 2,"7,005","10,616","1,158","1,739","2,230",868,673,609,"25,255"
Mar 1,"6,657","8,823","4,436","1,095","1,833",944,453,556,"25,017"
Feb 28,"5,810","5,822","3,307","1,114","1,530",713,418,365,"19,114"
Feb 27,"4,924","5,984","3,525","1,005","1,552",676,483,368,"18,452"
Feb 26,"5,624","6,969","4,686","1,050","1,888",794,940,632,"22,126"
Feb 25,"6,425","7,480","5,352","1,031","1,846",832,656,623,"24,529"
Feb 24,"6,614","8,219","6,014",712,"1,919",854,929,742,"25,730"
Feb 23,"6,809","8,912","6,135",628,"2,049",841,576,710,"27,013"
Feb 22,"6,658","8,667","5,531",252,"1,639",818,435,558,"24,699"
Feb 21,"5,467","4,860","4,096",214,"1,212",570,551,488,"17,342"
Feb 20,"4,699","5,539","4,212",222,"1,202",527,332,461,"17,413"
Feb 19,"6,149","7,525","4,886",244,"1,422",579,522,817,"21,954"
Feb 18,"6,787","9,209","5,674",199,"1,669",627,526,941,"25,628"
Feb 17,"8,311","9,909","5,641",184,"1,440",675,557,"1,002","27,688"
Feb 16,"7,999","10,394","6,549",126,"1,692",628,435,922,"28,867"
Feb 15,"7,958","8,147","5,274",58,"1,241",514,348,"1,057","24,684"
Feb 14,"6,858","6,148","3,733",72,"1,146",408,434,767,"19,480"
Feb 13,"6,996","6,575","7,249",64,"1,216",354,408,583,"23,471"
Feb 12,"6,997","8,097",755,49,"1,507",456,462,"1,385","19,654"
Feb 11,"8,273","8,854","8,804",97,"1,614",554,463,"1,080","29,738"
Feb 10,"9,225","10,001","5,839",138,"1,639",621,448,"1,155","29,081"
Feb 9,"9,691","10,211","6,842",92,"1,696",574,467,"1,204","30,758"
Feb 8,"9,547","9,591","5,142",65,"1,333",601,266,"1,122","27,868"
Feb 7,"8,095","7,288","4,677",36,"1,343",443,309,794,"22,942"
Feb 6,"6,919","7,804","5,737",46,"1,302",471,352,932,"23,520"
Feb 5,"9,326","8,322","8,478",26,"1,394",471,345,"1,123","29,492"
Feb 4,"11,072","10,554","6,808",32,934,565,529,"1,288","31,598"
Feb 3,"12,398","12,540","4,540",28,"1,642",600,494,"1,066","33,343"
Feb 2,"15,246","11,738","9,630",29,"1,942",661,451,"1,206","40,946"
Feb 1,"11,175","12,532","7,588",24,"1,480","-1,010",458,"1,147","33,387"
Jan 31,"9,922","12,888","7,462",23,"1,612",504,558,-480,"32,389"
Jan 30,"10,553","13,421","8,563",19,"1,701",272,615,"1,470","36,557"
Jan 29,"12,409","13,251","14,361",23,"1,835",724,637,"1,591","44,809"
Jan 28,"12,734","13,176","9,818",8,"2,281",602,807,"1,659","40,915"
Jan 27,"13,679","16,119","11,561",12,"2,211",769,702,475,"45,633"
Jan 26,"13,502","10,345","13,492",24,"2,577",738,"1,138",786,"42,166"
Jan 25,"14,631","18,700","9,502",18,"2,653",651,427,515,"47,808"
Jan 24,"11,546","15,292","10,192",14,"2,747",578,670,238,"41,034"
Jan 23,"13,188","20,698","11,946",27,"2,216",738,700,367,"49,850"
Jan 22,"16,133","20,308","15,010",11,"2,312",727,768,433,"55,634"
Jan 21,"18,425","24,759","15,858",10,"2,845",549,854,457,"63,671"
Jan 20,"20,848","30,529","16,797",10,"3,209",928,"1,277",488,"73,663"
Jan 19,"21,385","31,659","19,906",5,"3,265","1,360","2,580",405,"79,262"
Jan 18,"10,537","29,830","15,962",14,"2,765","1,310","1,365",648,"63,646"
Jan 17,"22,513","29,504","15,094",12,"3,437","1,037","1,222",269,"73,231"
Jan 16,"28,686","34,399","17,420",3,"3,450",869,"1,266",355,"86,404"
Jan 15,"25,299","48,664","19,703",9,"4,239","1,186","2,247",546,"100,912"
Jan 14,"34,781","62,383","23,617",9,"5,619","1,222","1,303",898,"130,776"
Jan 13,"37,338","91,715","14,897",16,"3,578","1,092","1,052",708,"150,647"
Jan 12,"38,504","34,636","22,061",6,"3,640","1,579","2,058",473,"101,951"
Jan 11,"36,509","25,658","20,553",15,"2,877","1,367","1,072",692,"89,729"
Jan 10,"33,231","20,202","9,566",8,"4,019","1,206","1,399",499,"69,803"
Jan 9,"41,232","29,936","17,977",2,"4,508","1,373","1,348",300,"96,727"
Jan 8,"46,995","45,043","11,106",8,"4,273","2,212","1,408",433,"111,418"
Jan 7,"21,461","38,417","10,946",6,"3,700","1,486","1,015",275,"77,699"
