Date, Daily Cases, 3 Day Average, 5 Day Average, 7 Day Average
24/01/2020,0,Not Applicable,Not Applicable,Not Applicable
25/01/2020,0,Not Applicable,Not Applicable,Not Applicable
26/01/2020,0,0.0,Not Applicable,Not Applicable
27/01/2020,0,0.0,Not Applicable,Not Applicable
28/01/2020,0,0.0,0.0,Not Applicable
29/01/2020,0,0.0,0.0,Not Applicable
30/01/2020,0,0.0,0.0,0.0
31/01/2020,0,0.0,0.0,0.0
01/02/2020,0,0.0,0.0,0.0
02/02/2020,0,0.0,0.0,0.0
03/02/2020,0,0.0,0.0,0.0
04/02/2020,0,0.0,0.0,0.0
05/02/2020,0,0.0,0.0,0.0
06/02/2020,0,0.0,0.0,0.0
07/02/2020,0,0.0,0.0,0.0
08/02/2020,0,0.0,0.0,0.0
09/02/2020,0,0.0,0.0,0.0
10/02/2020,0,0.0,0.0,0.0
11/02/2020,0,0.0,0.0,0.0
12/02/2020,0,0.0,0.0,0.0
13/02/2020,0,0.0,0.0,0.0
14/02/2020,0,0.0,0.0,0.0
15/02/2020,0,0.0,0.0,0.0
16/02/2020,0,0.0,0.0,0.0
17/02/2020,0,0.0,0.0,0.0
18/02/2020,0,0.0,0.0,0.0
19/02/2020,0,0.0,0.0,0.0
20/02/2020,1,0.0,0.0,0.0
21/02/2020,0,0.5,0.25,0.16666666666666666
22/02/2020,0,0.5,0.25,0.16666666666666666
23/02/2020,0,0.0,0.25,0.16666666666666666
24/02/2020,0,0.0,0.25,0.16666666666666666
25/02/2020,0,0.0,0.0,0.16666666666666666
26/02/2020,0,0.0,0.0,0.16666666666666666
27/02/2020,1,0.0,0.0,0.0
28/02/2020,0,0.5,0.25,0.16666666666666666
29/02/2020,0,0.5,0.25,0.16666666666666666
01/03/2020,0,0.0,0.25,0.16666666666666666
02/03/2020,0,0.0,0.25,0.16666666666666666
03/03/2020,0,0.0,0.0,0.16666666666666666
04/03/2020,1,0.0,0.0,0.16666666666666666
05/03/2020,0,0.5,0.25,0.16666666666666666
06/03/2020,0,0.5,0.25,0.16666666666666666
07/03/2020,1,0.0,0.25,0.16666666666666666
08/03/2020,2,0.5,0.5,0.3333333333333333
09/03/2020,0,1.5,0.75,0.6666666666666666
10/03/2020,3,1.0,0.75,0.6666666666666666
11/03/2020,0,1.5,1.5,1.0
12/03/2020,5,1.5,1.25,1.0
13/03/2020,3,2.5,2.0,1.8333333333333333
14/03/2020,1,4.0,2.75,2.1666666666666665
15/03/2020,10,2.0,2.25,2.0
16/03/2020,3,5.5,4.75,3.6666666666666665
17/03/2020,4,6.5,4.25,3.6666666666666665
18/03/2020,17,3.5,4.5,4.333333333333333
19/03/2020,12,10.5,8.5,6.333333333333333
20/03/2020,26,14.5,9.0,7.833333333333333
21/03/2020,30,19.0,14.75,12.0
22/03/2020,20,28.0,21.25,15.333333333333334
23/03/2020,35,25.0,22.0,18.166666666666668
24/03/2020,30,27.5,27.75,23.333333333333332
25/03/2020,26,32.5,28.75,25.5
26/03/2020,24,28.0,27.75,27.833333333333332
27/03/2020,23,25.0,28.75,27.5
28/03/2020,33,23.5,25.75,26.333333333333332
29/03/2020,44,28.0,26.5,28.5
30/03/2020,9,38.5,31.0,30.0
31/03/2020,28,26.5,27.25,26.5
01/04/2020,8,18.5,28.5,26.833333333333332
02/04/2020,22,18.0,22.25,24.166666666666668
03/04/2020,14,15.0,16.75,24.0
04/04/2020,17,18.0,18.0,20.833333333333332
05/04/2020,7,15.5,15.25,16.333333333333332
06/04/2020,10,12.0,15.0,16.0
07/04/2020,11,8.5,12.0,13.0
08/04/2020,14,10.5,11.25,13.5
09/04/2020,11,12.5,10.5,12.166666666666666
10/04/2020,8,12.5,11.5,11.666666666666666
11/04/2020,3,9.5,11.0,10.166666666666666
12/04/2020,6,5.5,9.0,9.5
13/04/2020,4,4.5,7.0,8.833333333333334
14/04/2020,5,5.0,5.25,7.666666666666667
15/04/2020,3,4.5,4.5,6.166666666666667
16/04/2020,6,4.0,4.5,4.833333333333333
17/04/2020,3,4.5,4.5,4.5
18/04/2020,1,4.5,4.25,4.5
19/04/2020,0,2.0,3.25,3.6666666666666665
20/04/2020,1,0.5,2.5,3.0
21/04/2020,0,0.5,1.25,2.3333333333333335
22/04/2020,0,0.5,0.5,1.8333333333333333
23/04/2020,2,0.0,0.25,0.8333333333333334
24/04/2020,1,1.0,0.75,0.6666666666666666
25/04/2020,0,1.5,0.75,0.6666666666666666
26/04/2020,0,0.5,0.75,0.6666666666666666
27/04/2020,1,0.0,0.75,0.5
28/04/2020,1,0.5,0.5,0.6666666666666666
29/04/2020,0,1.0,0.5,0.8333333333333334
30/04/2020,0,0.5,0.5,0.5
01/05/2020,0,0.0,0.5,0.3333333333333333
02/05/2020,0,0.0,0.25,0.3333333333333333
03/05/2020,0,0.0,0.0,0.3333333333333333
04/05/2020,0,0.0,0.0,0.16666666666666666
05/05/2020,0,0.0,0.0,0.0
06/05/2020,0,0.0,0.0,0.0
07/05/2020,1,0.0,0.0,0.0
08/05/2020,0,0.5,0.25,0.16666666666666666
09/05/2020,0,0.5,0.25,0.16666666666666666
10/05/2020,0,0.0,0.25,0.16666666666666666
11/05/2020,1,0.0,0.25,0.16666666666666666
12/05/2020,0,0.5,0.25,0.3333333333333333
13/05/2020,1,0.5,0.25,0.3333333333333333
14/05/2020,0,0.5,0.5,0.3333333333333333
15/05/2020,1,0.5,0.5,0.3333333333333333
16/05/2020,1,0.5,0.5,0.5
17/05/2020,1,1.0,0.75,0.6666666666666666
18/05/2020,0,1.0,0.75,0.6666666666666666
19/05/2020,0,0.5,0.75,0.6666666666666666
20/05/2020,0,0.0,0.5,0.5
21/05/2020,0,0.0,0.25,0.5
22/05/2020,3,0.0,0.0,0.3333333333333333
23/05/2020,0,1.5,0.75,0.6666666666666666
24/05/2020,4,1.5,0.75,0.5
25/05/2020,6,2.0,1.75,1.1666666666666667
26/05/2020,0,5.0,3.25,2.1666666666666665
27/05/2020,7,3.0,2.5,2.1666666666666665
28/05/2020,8,3.5,4.25,3.3333333333333335
29/05/2020,1,7.5,5.25,4.166666666666667
30/05/2020,3,4.5,4.0,4.333333333333333
31/05/2020,2,2.0,4.75,4.166666666666667
01/06/2020,0,2.5,3.5,3.5
02/06/2020,1,1.0,1.5,3.5
03/06/2020,0,0.5,1.5,2.5
04/06/2020,4,0.5,0.75,1.1666666666666667
05/06/2020,3,2.0,1.25,1.6666666666666667
06/06/2020,0,3.5,2.0,1.6666666666666667
07/06/2020,0,1.5,1.75,1.3333333333333333
08/06/2020,0,0.0,1.75,1.3333333333333333
09/06/2020,2,0.0,0.75,1.1666666666666667
10/06/2020,0,1.0,0.5,1.5
11/06/2020,1,1.0,0.5,0.8333333333333334
12/06/2020,0,0.5,0.75,0.5
13/06/2020,0,0.5,0.75,0.5
14/06/2020,0,0.0,0.25,0.5
15/06/2020,0,0.0,0.25,0.5
16/06/2020,0,0.0,0.0,0.16666666666666666
17/06/2020,1,0.0,0.0,0.16666666666666666
18/06/2020,0,0.5,0.25,0.16666666666666666
19/06/2020,1,0.5,0.25,0.16666666666666666
20/06/2020,1,0.5,0.5,0.3333333333333333
21/06/2020,0,1.0,0.75,0.5
22/06/2020,2,0.5,0.5,0.5
23/06/2020,0,1.0,1.0,0.8333333333333334
24/06/2020,1,1.0,0.75,0.6666666666666666
25/06/2020,0,0.5,0.75,0.8333333333333334
26/06/2020,0,0.5,0.75,0.6666666666666666
27/06/2020,1,0.0,0.25,0.5
28/06/2020,0,0.5,0.5,0.6666666666666666
29/06/2020,2,0.5,0.25,0.3333333333333333
30/06/2020,0,1.0,0.75,0.6666666666666666
01/07/2020,0,1.0,0.75,0.5
02/07/2020,0,0.0,0.5,0.5
03/07/2020,1,0.0,0.5,0.5
04/07/2020,6,0.5,0.25,0.5
05/07/2020,3,3.5,1.75,1.5
06/07/2020,0,4.5,2.5,1.6666666666666667
07/07/2020,3,1.5,2.5,1.6666666666666667
08/07/2020,3,1.5,3.0,2.1666666666666665
09/07/2020,3,3.0,2.25,2.6666666666666665
10/07/2020,4,3.0,2.25,3.0
11/07/2020,1,3.5,3.25,2.6666666666666665
12/07/2020,0,2.5,2.75,2.3333333333333335
13/07/2020,1,0.5,2.0,2.3333333333333335
14/07/2020,8,0.5,1.5,2.0
